source,target,score,reason
Aqualith,aqualith_armor_boots_recipe,1.0,name
Aqualith,aqualith_armor_chestplate_recipe,1.0,name
Aqualith,aqualith_armor_helmet_recipe,1.0,name
Aqualith,aqualith_armor_leggings_recipe,1.0,name
Aqualith,aqualith_axe_recipe,1.0,name
Aqualith,Block of Aqualith,1.0,name
Aqualith,aqualith_block_ore_recipe,1.0,name
Aqualith,aqualith_hoe_recipe,1.0,name
Aqualith,Aqualith Ore,1.0,name
Aqualith,aqualith_ore_block_recipe,1.0,name
Aqualith,aqualith_ore_smelting,1.0,name
Aqualith,aqualith_pickaxe_recipe,1.0,name
Aqualith,aqualith_shovel_recipe,1.0,name
Aqualith,aqualith_sword_recipe,1.0,name
Crusher,crusher_recipe,1.0,name
Crusher,SteelPowderJEI.mod,1.0,name
Filler,filler_recipe,1.0,name
Alpha 2 Statue,Alpha2StatueGUI.mod,1.0,name
Aqualith Ore,Aqualith,1.0,name
Aqualith Ore,aqualith_armor_boots_recipe,1.0,name
Aqualith Ore,aqualith_armor_chestplate_recipe,1.0,name
Aqualith Ore,aqualith_armor_helmet_recipe,1.0,name
Aqualith Ore,aqualith_armor_leggings_recipe,1.0,name
Aqualith Ore,Aqualith Axe,1.0,name
Aqualith Ore,aqualith_axe_recipe,1.0,name
Aqualith Ore,Block of Aqualith,1.0,presence
Aqualith Ore,aqualith_block_ore_recipe,1.0,name
Aqualith Ore,Aqualith Hoe,1.0,name
Aqualith Ore,aqualith_hoe_recipe,1.0,name
Aqualith Ore,aqualith_ore_block_recipe,1.0,name
Aqualith Ore,aqualith_ore_smelting,1.0,name
Aqualith Ore,Aqualith Pickaxe,1.0,name
Aqualith Ore,aqualith_pickaxe_recipe,1.0,name
Aqualith Ore,Aqualith Shovel,1.0,name
Aqualith Ore,aqualith_shovel_recipe,1.0,name
Aqualith Ore,Aqualith Sword,1.0,name
Aqualith Ore,aqualith_sword_recipe,1.0,name
Aqualith Axe,aqualith_armor_boots_recipe,1.0,name
Aqualith Axe,aqualith_armor_chestplate_recipe,1.0,name
Aqualith Axe,aqualith_armor_helmet_recipe,1.0,name
Aqualith Axe,aqualith_armor_leggings_recipe,1.0,name
Aqualith Axe,aqualith_axe_recipe,1.0,name
Aqualith Axe,Block of Aqualith,1.0,name
Aqualith Axe,aqualith_block_ore_recipe,1.0,name
Aqualith Axe,Aqualith Hoe,1.0,presence
Aqualith Axe,aqualith_hoe_recipe,1.0,name
Aqualith Axe,Aqualith Ore,1.0,name
Aqualith Axe,aqualith_ore_block_recipe,1.0,name
Aqualith Axe,aqualith_ore_smelting,1.0,name
Aqualith Axe,Aqualith Pickaxe,1.0,name
Aqualith Axe,aqualith_pickaxe_recipe,1.0,name
Aqualith Axe,Aqualith Shovel,1.0,presence
Aqualith Axe,aqualith_shovel_recipe,1.0,name
Aqualith Axe,Aqualith Sword,1.0,name
Aqualith Axe,aqualith_sword_recipe,1.0,name
Aqualith Hoe,aqualith_armor_boots_recipe,1.0,name
Aqualith Hoe,aqualith_armor_chestplate_recipe,1.0,name
Aqualith Hoe,aqualith_armor_helmet_recipe,1.0,name
Aqualith Hoe,aqualith_armor_leggings_recipe,1.0,name
Aqualith Hoe,Aqualith Axe,1.0,presence
Aqualith Hoe,aqualith_axe_recipe,1.0,name
Aqualith Hoe,Block of Aqualith,1.0,name
Aqualith Hoe,aqualith_block_ore_recipe,1.0,name
Aqualith Hoe,aqualith_hoe_recipe,1.0,name
Aqualith Hoe,Aqualith Ore,1.0,name
Aqualith Hoe,aqualith_ore_block_recipe,1.0,name
Aqualith Hoe,aqualith_ore_smelting,1.0,name
Aqualith Hoe,Aqualith Pickaxe,1.0,presence
Aqualith Hoe,aqualith_pickaxe_recipe,1.0,name
Aqualith Hoe,Aqualith Shovel,1.0,name
Aqualith Hoe,aqualith_shovel_recipe,1.0,name
Aqualith Hoe,Aqualith Sword,1.0,name
Aqualith Hoe,aqualith_sword_recipe,1.0,name
Aqualith Pickaxe,aqualith_armor_boots_recipe,1.0,name
Aqualith Pickaxe,aqualith_armor_chestplate_recipe,1.0,name
Aqualith Pickaxe,aqualith_armor_helmet_recipe,1.0,name
Aqualith Pickaxe,aqualith_armor_leggings_recipe,1.0,name
Aqualith Pickaxe,Aqualith Axe,1.0,presence
Aqualith Pickaxe,aqualith_axe_recipe,1.0,name
Aqualith Pickaxe,Block of Aqualith,1.0,name
Aqualith Pickaxe,aqualith_block_ore_recipe,1.0,name
Aqualith Pickaxe,Aqualith Hoe,1.0,presence
Aqualith Pickaxe,aqualith_hoe_recipe,1.0,name
Aqualith Pickaxe,Aqualith Ore,1.0,name
Aqualith Pickaxe,aqualith_ore_block_recipe,1.0,name
Aqualith Pickaxe,aqualith_ore_smelting,1.0,name
Aqualith Pickaxe,aqualith_pickaxe_recipe,1.0,name
Aqualith Pickaxe,Aqualith Shovel,1.0,name
Aqualith Pickaxe,aqualith_shovel_recipe,1.0,name
Aqualith Pickaxe,Aqualith Sword,1.0,name
Aqualith Pickaxe,aqualith_sword_recipe,1.0,name
Aqualith Shovel,aqualith_armor_boots_recipe,1.0,name
Aqualith Shovel,aqualith_armor_chestplate_recipe,1.0,name
Aqualith Shovel,aqualith_armor_helmet_recipe,1.0,name
Aqualith Shovel,aqualith_armor_leggings_recipe,1.0,name
