Name,Type,File,Dependencies,Used In Recipes,Recipe Outputs,Hardness,Resistance,Tool,Creative Tabs,Has GUI,Recipe Type,Inputs,Output,Output Count,Durability,Enchantability,Repair Items,Health,Attack,Spawn Biomes,Drops
BadaBingBadaBOOM.mod,achievement,BadaBingBadaBOOM.mod,,,,,,,,,,,,,,,,,,,
SkiesTheLimit.mod,achievement,SkiesTheLimit.mod,,,,,,,,,,,,,,,,,,,
XMarksTheSpot.mod,achievement,XMarksTheSpot.mod,,,,,,,,,,,,,,,,,,,
Aqualith,armor,AqualithArmor.mod,,"aqualith_armor_boots_recipe, aqualith_armor_boots_recipe, aqualith_armor_boots_recipe, aqualith_armor_boots_recipe, aqualith_armor_chestplate_recipe, aqualith_armor_chestplate_recipe, aqualith_armor_chestplate_recipe, aqualith_armor_chestplate_recipe, aqualith_armor_chestplate_recipe, aqualith_armor_chestplate_recipe, aqualith_armor_chestplate_recipe, aqualith_armor_chestplate_recipe, aqualith_armor_helmet_recipe, aqualith_armor_helmet_recipe, aqualith_armor_helmet_recipe, aqualith_armor_helmet_recipe, aqualith_armor_helmet_recipe, aqualith_armor_leggings_recipe, aqualith_armor_leggings_recipe, aqualith_armor_leggings_recipe, aqualith_armor_leggings_recipe, aqualith_armor_leggings_recipe, aqualith_armor_leggings_recipe, aqualith_armor_leggings_recipe, aqualith_axe_recipe, aqualith_axe_recipe, aqualith_axe_recipe, aqualith_hoe_recipe, aqualith_hoe_recipe, aqualith_ore_block_recipe, aqualith_ore_block_recipe, aqualith_ore_block_recipe, aqualith_ore_block_recipe, aqualith_ore_block_recipe, aqualith_ore_block_recipe, aqualith_ore_block_recipe, aqualith_ore_block_recipe, aqualith_ore_block_recipe, aqualith_pickaxe_recipe, aqualith_pickaxe_recipe, aqualith_pickaxe_recipe, aqualith_shovel_recipe, aqualith_sword_recipe, aqualith_sword_recipe",aqualith_block_ore_recipe,,,,,,,,,,39.0,36.0,Aqualith,,,,
Titanium,armor,TitaniumArmour.mod,,,,,,,,,,,,,15.0,9.0,TitaniumIngot,,,,
Apalatian,attribute,Apalatian.mod,,,,,,,,,,,,,,,,,,,
Sky Flats,biome,SkyFlats.mod,,,,,,,,,,,,,,,,,,,
Wild Tundra,biome,WildTundra.mod,,,,,,,,,,,,,,,,,,,
Alpha 2 Statue,block,Alpha2Statue.mod,,,,1.0,10.0,Not specified,,Yes,,,,,,,,,,,
Aqualith Ore,block,AqualithOre.mod,,,,12.0,15.157165665103982,pickaxe,BUILDING_BLOCKS,No,,,,,,,,,,,
Asphalt,block,Asphalt.mod,,,,1.1,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Asphalt Slabs,block,AsphaltSlabs.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Asphalt Stairs,block,AsphaltStairs.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Bauxite,block,Bauxite.mod,,,,1.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Big Snowman,block,BigSnowman.mod,,,,1.0,10.0,Not specified,,No,,,,,,,,,,,
Block of Aqualith,block,AqualithBlock.mod,,,,5.0,10.0,pickaxe,BUILDING_BLOCKS,No,,,,,,,,,,,
Cassiterite Ore,block,CassiteriteOre.mod,,,,1.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cinnabar Ore,block,CinnabarOre.mod,,,,1.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Pillar,block,CobblestonePillar.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Pillar 3 Way,block,CobblestonePillar3Way.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Pillar 4 Way,block,CobblestonePillar4Way.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Pillar Base,block,CobblestonePillarBase.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Pillar T Section,block,CobblestonePillarTSection.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Pillar Topper,block,CobblestonePillarTopper.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Side Pillar,block,CobblestoneSidePillar.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Side Pillar 3 Way,block,CobblestoneSidePillar3Way.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Cobblestone Side Pillar 4 Way,block,CobblestoneSidePillar4Way.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Crusher,block,Crusher.mod,,,crusher_recipe,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,Yes,,,,,,,,,,,
Cryonite Ore,block,CryoniteOre.mod,,,,1.0,10.0,Not specified,,No,,,,,,,,,,,
Filler,block,Filler.mod,,,filler_recipe,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,Yes,,,,,,,,,,,
Galena Ore,block,GalenaOre.mod,,,,1.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Germination Tank,block,GerminationTank.mod,,,,1.0,10.0,Not specified,,Yes,,,,,,,,,,,
Ice Block,block,IceBlock.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Block Door,block,IceBlockDoor.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Block Fence,block,IceBlockFence.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Block Fencegate,block,IceBlockFencegate.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Block Slabs,block,IceBlockSlabs.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Block Stairs,block,IceBlockStairs.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Block Trapdoor,block,IceBlockTrapdoor.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Block Wall,block,IceBlockWall.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Brick Door,block,IceBrickDoor.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Brick Fence,block,IceBrickFence.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Brick Fencegate,block,IceBrickFencegate.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Brick Slabs,block,IceBrickSlabs.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Brick Stairs,block,IceBrickStairs.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Brick Trapdoor,block,IceBrickTrapdoor.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Brick Wall,block,IceBrickWall.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Bricks,block,IceBricks.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ice Cutter,block,IceCutter.mod,,,,1.0,10.0,pickaxe,,No,,,,,,,,,,,
Ilmenite Ore,block,IlmeniteOre.mod,,,,1.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Induction Furnace,block,InductionFurnace.mod,,,,1.0,10.0,pickaxe,,Yes,,,,,,,,,,,
Jewlery Workbench,block,JewleryWorkbench.mod,,,,1.0,10.0,Not specified,,Yes,,,,,,,,,,,
Lavaleer,block,Lavaleer.mod,,,lavaleer_recipe,1.0,10.0,Not specified,,Yes,,,,,,,,,,,
Machine Frame,block,MachineFrame.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Medium Snowman,block,MediumSnowman.mod,,,,1.0,10.0,Not specified,,No,,,,,,,,,,,
Natural Gas Pocket,block,NaturalGasPocket.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Nitrogen Pocket,block,NitrogenPocket.mod,,,,1.0,10.0,Not specified,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Packed Sand,block,PackedSand.mod,,,,1.0,10.0,shovel,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
Packed Sand Brick Stairs,block,PackedSandBrickStairs.mod,,,,3.0,10.0,pickaxe,CUSTOM:TheGreatExpansion,No,,,,,,,,,,,
